DraftYear,Round,Pick,Age,GamesPlayed,Completions,Attempts,Yards,Touchdowns,Interceptions,RushAttempts,RushYards,RushTouchdowns,Player,College,Conference,Team,Heisman,Verdict
2006,1,3,23,37,444,718,6040,44,28,457,3127,37,Vince Young,Texas,Big 12,TEN,0,1
2006,1,10,23,39,807,1245,10693,99,23,132,-70,9,Matt Leinart,USC,Pac-12,ARI,1,0
2006,1,11,23,45,710,1242,8697,59,36,453,1256,17,Jay Cutler,Vanderbilt,Southeastern,DEN,0,1
2006,2,49,23,37,613,1005,755,61,24,273,535,6,Kellen Clemens,Oregon,Pac-12,NYJ,0,1
2006,2,64,23,44,550,1022,7964,68,29,275,938,11,Tarvaris Jackson,Alabama St.,FCS,MIN,0,1
2006,3,81,24,44,817,1368,9665,49,46,266,98,10,Charlie Whitehurst,Clemson,Atlantic Coast,SDG,0,0
2006,3,85,23,39,48,869,6382,41,22,183,-177,4,Brodie Croyle,Alabama,Southeastern,KAN,0,0
2006,4,103,22,47,18,1454,8644,56,32,779,4193,44,Brad Smith,Missouri,Southeastern,NYJ,0,0
2006,6,194,23,49,766,1123,9225,85,27,248,1018,14,Bruce Gradkowski,Toledo,Mid-American,TAM,0,0
2005,1,1,21,25,389,587,5203,47,8,286,1072,15,Alex Smith,Utah,Pac-12,SFO,0,1
2005,1,24,21,25,424,665,5469,43,13,160,336,8,Aaron Rodgers,California,Pac-12,GNB,0,1
2005,1,25,23,48,552,854,7299,45,24,249,307,9,Jason Campbell,Auburn,Southeastern,WAS,0,1
2005,3,67,24,46,913,1436,11049,64,32,375,429,19,Charlie Frye,Akron,Mid-American,CLE,0,0
2005,3,69,23,48,777,1416,10617,85,36,175,-475,0,Andrew Walter,Arizona St.,Pac-12,OAK,0,0
2005,4,106,22,44,786,1336,9337,63,28,271,316,6,Kyle Orton,Purdue,Big Ten,CHI,0,1
2005,5,145,22,46,916,1567,10706,84,51,143,-285,6,Dan Orlovsky,Connecticut,FCS,DET,0,0
2005,6,213,22,49,768,1515,11249,79,57,182,-533,8,Derek Anderson,Oregon St.,Pac-12,BAL,0,1
2005,7,250,22,25,384,641,5234,39,21,365,1487,16,Ryan Fitzpatrick,Harvard,FCS,STL,0,1
2004,1,4,22,47,1087,1710,13484,95,34,252,96,17,Philip Rivers,North Carolina St.,Atlantic Coast,NYG,0,1
2004,1,11,22,38,854,1304,10829,84,34,269,246,7,Ben Roethlisberger,Miami (OH),Mid-American,PIT,0,1
2004,1,22,23,38,570,987,6754,60,27,237,241,10,J.P. Losman,Tulane,American Athletic,BUF,0,0
2004,3,90,23,40,716,1069,7502,56,26,132,58,5,Matt Schaub,Virginia,Atlantic Coast,ATL,0,1
2004,4,106,23,43,1063,1775,1266,87,62,274,65,10,Luke McCown,Louisiana Tech,Conference USA,CLE,0,0
2004,5,148,23,33,328,577,4489,28,21,247,600,6,Craig Krenzel,Ohio St.,Big Ten,CHI,0,0
2004,6,193,23,39,288,519,4498,33,21,138,-32,4,Jim Sorgi,Wisconsin,Big Ten,IND,0,0
